FIBER, PETAL,  ORIGINALLY_ASSIGNED_TARGETBIT,  ORIGINALLY_ASSIGNED_TARGET_RA, ORIGINALLY_ASSIGNED_TARGET_DEC, OROGINALLY_ASSINED_FIBER_X, ORIGINALLY_ASSIGNED_FIBER_Y, ASSIGNED_TARGETBIT_IN_DITHERED_TILE, ASSIGNED_TARGET_RA, ASSIGNED_TARGET_DEC,ASSIGNED_FIBER_X, ASSIGNED_FIBER_Y, DELTA_RA_DITHERED_ORIGINAL_degrees, DELTA_DEC_DITHERED_ORIGINAL_degrees, FIBER_DELTA_X_DITHERED_ORIGINAL_mm, FIBER_DELTA_Y_DITHERED_ORIGINAL_mm
12,0,545,356.27426949277265,30.29781272269749,-4.219977,-228.44606,545,356.2743791193107,30.298342252030118,-4.2432265,-228.31175,9.465317657774006e-05,0.0005295293326277317,-0.023249626,0.13430786
13,0,32,356.20227406008826,30.26236523162461,11.126157,-237.45758,32,356.2025427286692,30.262569910283787,11.068765,-237.40543,0.0002320562438896011,0.00020467865917694894,-0.05739212,0.05215454
14,0,545,356.1732176835991,30.18659604642454,17.38064,-256.82333,545,356.17337583721695,30.186590484168388,17.3468,-256.8247,0.0001367067942245461,-5.5622561525581204e-06,-0.03384018,-0.001373291
15,0,32,356.09130582731217,30.24285814712665,34.82873,-242.47618,32,356.09089376409855,30.242934262424086,34.916645,-242.45703,-0.00035598070699098354,7.611529743556389e-05,0.08791351,0.01914978
16,0,33,356.00624128357066,30.151910835882287,53.227818,-265.86374,33,356.00648936385176,30.151915985680137,53.174526,-265.86212,0.00021451419774325633,5.1497978503789454e-06,-0.05329132,0.0016174316
17,0,545,356.14876681334323,30.232324032808872,22.567703,-245.13252,545,356.14878781009816,30.231806987503173,22.563726,-245.26451,1.8141004772453704e-05,-0.0005170453056990709,-0.003976822,-0.13198853
18,0,545,356.02793281604255,30.110260202864044,48.665073,-276.5903,545,356.0278572856475,30.110093596704598,48.68171,-276.63348,-6.53384443286894e-05,-0.00016660615944630308,0.016635895,-0.043182373
19,0,32,355.9197434464955,30.131789715812925,71.88949,-271.17346,32,355.92012654954254,30.131225510127027,71.808876,-271.31857,0.0003313354937245292,-0.0005642056858974343,-0.08061218,-0.14511108
20,0,545,356.16071020118034,30.11572231490756,20.12324,-275.07303,545,356.16062241105374,30.115788617808928,20.142027,-275.05594,-7.593966841040497e-05,6.630290136655503e-05,0.018787384,0.017089844
21,0,40,356.33156657567685,30.338969735022737,-16.393435,-218.03494,40,356.33157812085585,30.338906013982957,-16.39593,-218.05104,9.964092099138078e-06,-6.372103977980714e-05,-0.002494812,-0.016098022
22,0,545,356.0435348894659,30.225417087542834,45.071213,-246.96652,545,356.043094611532,30.225096707337972,45.166035,-247.0488,-0.0003804228405761351,-0.00032038020486169216,0.09482193,-0.08227539
23,0,32,356.2868701279564,30.24931556168713,-6.9170794,-240.77776,32,356.2875461612545,30.248304110934484,-7.061627,-241.03561,0.0005839856339108987,-0.0010114507526459704,-0.14454746,-0.25785828
