FIBER,PETAL,ORIGINALLY_ASSIGNED_TARGETBIT,ORIGINALLY_ASSIGNED_TARGET_RA,ORIGINALLY_ASSIGNED_TARGET_DEC,OROGINALLY_ASSINED_FIBER_X,ORIGINALLY_ASSIGNED_FIBER_Y,ASSIGNED_TARGETBIT_IN_DITHERED_TILE,ASSIGNED_TARGET_RA,ASSIGNED_TARGET_DEC,ASSIGNED_FIBER_X,ASSIGNED_FIBER_Y,DELTA_RA(DITHERED-ORIGINAL)[degrees],DELTA_DEC(DITHERED-ORIGINAL)[degrees],FIBER_DELTA_X(DITHERED-ORIGINAL)[mm],FIBER_DELTA_Y(DITHERED-ORIGINAL)[mm]
25,0,40,20.630268127250847,29.65604624264476,9.799583,-226.36148,40,20.629797617723643,29.655713302456586,10.080643,-226.43802,-0.00040887811654006666,-0.00033294018817286997,0.28105927,-0.076538086
26,0,545,20.2892780578742,29.50003225590871,83.57489,-266.5629,545,20.32589615752831,29.49552049954362,75.8644,-267.60117,0.031870761457153236,-0.004511756365090491,-7.7104874,-1.038269
27,0,545,20.4040344361236,29.50348917043155,58.709988,-265.4903,545,20.403220260006204,29.502358300047757,59.100517,-265.73575,-0.0007085984049583388,-0.0011308703837933365,0.39052963,-0.24545288
28,0,4294967296,20.672746760367957,29.515640368547235,0.70273405,-262.1884,545,20.672147084539777,29.525881279532456,1.0380584,-259.55716,-0.0005218506450374604,0.010240910985221063,0.33532435,2.6312256
29,0,32,20.577997248177333,29.636432963929398,21.01755,-231.35231,40,20.552404070449324,29.62219206730314,26.710346,-234.96165,-0.022245095323344136,-0.014240896626258603,5.6927967,-3.6093445
30,0,42949673511,20.503826629448216,29.616836896914428,36.962444,-236.37416,545,20.49968886728121,29.637292859062832,38.002953,-231.1457,-0.003597162474663375,0.020455962148403728,1.0405083,5.2284546
31,0,545,20.75462176511783,29.64434729052165,-16.852194,-229.33646,141733920768,20.747348882189446,29.631285930278956,-15.116146,-232.66301,-0.00632095240958825,-0.013061360242694775,1.7360477,-3.3265533
32,0,33,20.564617368055305,29.515204762772644,24.013891,-262.32953,33,20.566056782046708,29.514268129638445,23.913334,-262.55063,0.0012526140252558905,-0.0009366331341986722,-0.10055733,-0.22109985
33,0,545,20.382321787763868,29.43902950269334,63.599533,-282.18326,545,20.38192723468483,29.43689893503432,63.916573,-282.6859,-0.00034360807324296597,-0.0021305676590195333,0.3170395,-0.502655
34,0,545,20.610497720312296,29.57507533323558,14.083747,-246.96953,545,20.61148853038634,29.573137617264827,14.068711,-247.45319,0.0008617171526466399,-0.0019377159707545388,-0.015035629,-0.48365784
35,0,40,20.51643048044205,29.559964175431134,34.338955,-250.87944,40,20.517120293003188,29.559202958960107,34.391262,-251.0465,0.0006000264633465621,-0.0007612164710266711,0.05230713,-0.16705322
36,0,545,20.502965076782544,29.517830409318634,37.30894,-261.69583,545,20.501685978684133,29.518167044873017,37.79243,-261.58035,-0.001113074250301914,0.00033663555438323556,0.48349,0.115478516
37,0,40,20.35660769352447,29.548320133741573,68.83249,-254.0331,40,20.355020323050542,29.54594707520707,69.385284,-254.58897,-0.001380917234093458,-0.0023730585345020927,0.5527954,-0.5558777
